matrix,status,group,nnz,num_blocks,mat_fill,gspan,real_i8,null_i8,gain_i8,real_i4,null_i4,gain_i4
Bai/tub1000/tub1000.mtx,ok,Bai,3996,498,0.25075,73.576,0.00112,0.001346,0.1677,0.05162,0.06139,0.1592
Barabasi/NotreDame_yeast/NotreDame_yeast.mtx,pattern,Barabasi,4480,4076,0.03435,0.0,,,,,,
Bates/Chem97Zt/Chem97Zt.mtx,pattern,Bates,62044,15748,0.12312,0.0,,,,,,
Bates/Chem97ZtZ/Chem97ZtZ.mtx,ok,Bates,7361,1584,0.14522,10.364,0.002614,0.005402,0.516,0.048655,0.070099,0.3059
Bai/ck104/ck104.mtx,ok,Bai,992,88,0.35227,41.711,0.004708,0.005782,0.1858,0.04116,0.067069,0.3863
Bai/ck400/ck400.mtx,ok,Bai,2860,344,0.25981,77.008,0.002631,0.003815,0.3103,0.029269,0.050259,0.4176
Bai/ck656/ck656.mtx,ok,Bai,3884,568,0.21369,77.008,0.001965,0.003004,0.3459,0.029537,0.050012,0.4094
Bai/cryg10000/cryg10000.mtx,ok,Bai,49699,9875,0.15728,42.099,0.0028,0.005629,0.5026,0.051521,0.063658,0.1907
Bai/qh882/qh882.mtx,ok,Bai,3354,854,0.12273,63.753,0.001826,0.00024,-6.5989,0.033796,0.001571,-20.514
Bai/rbsa480/rbsa480.mtx,ok,Bai,17088,3701,0.14429,6.629,0.00217,0.002604,0.1669,0.041231,0.048125,0.1433
Bai/rbsb480/rbsb480.mtx,ok,Bai,17088,3700,0.14432,6.629,0.002326,0.002613,0.1101,0.038652,0.046293,0.1651
Bai/rdb1250/rdb1250.mtx,ok,Bai,7300,1513,0.15078,4.5,0.006037,0.004891,-0.2344,0.084734,0.06758,-0.2538
Bai/olm2000/olm2000.mtx,ok,Bai,7996,998,0.25038,18.479,0.003437,0.003368,-0.0204,0.103624,0.100705,-0.029
Bai/olm500/olm500.mtx,ok,Bai,1996,249,0.2505,14.488,0.003298,0.003267,-0.0095,0.10376,0.096859,-0.0712
Bai/olm5000/olm5000.mtx,ok,Bai,19996,2498,0.25015,21.122,0.003444,0.003358,-0.0255,0.103589,0.100538,-0.0303
Bai/pde225/pde225.mtx,ok,Bai,1065,271,0.12281,11.433,0.002518,0.002941,0.1438,0.044954,0.051274,0.1233
AG-Monien/se/se_G_13.mtx,pattern,AG-Monien,98300,32760,0.09377,0.0,,,,,,
AG-Monien/stufe-10/stufe-10.mtx,pattern,AG-Monien,92828,30285,0.09579,0.0,,,,,,
AG-Monien/stufe/stufe.mtx,pattern,AG-Monien,3736,1546,0.07552,0.0,,,,,,
AG-Monien/ukerbe1/ukerbe1.mtx,pattern,AG-Monien,15704,7364,0.06664,0.0,,,,,,
AG-Monien/ukerbe1_dual/ukerbe1_dual.mtx,pattern,AG-Monien,7076,2044,0.10818,0.0,,,,,,
AG-Monien/whitaker3/whitaker3.mtx,pattern,AG-Monien,57978,13776,0.13152,0.0,,,,,,
